time,bpFront,bpBack,rawAccelX,rawAccelY,rawAccelZ,noGravAccelX,noGravAccelY,noGravAccelZ,worldAccelY,worldAccelX,worldAccelZ,yaw,pitch,roll,gravityX,gravityY,gravityZ,quaternionX,quaternionY,quaternionZ,quaternionW
7901,165,148,18,494,16400,2,255,8211,-13,14,8214,-0.058977917,0.00183613,0.029134633,0.001836099,0.029129989,0.999557734,0.014587402,-0.000488281,0.02947998,0.999450684
8001,200,132,-6,360,16298,-22,121,8109,-31,-117,8108,-0.058979694,0.001958135,0.029131036,0.001958102,0.029126391,0.999557674,0.014587402,-0.000549316,0.02947998,0.999450684
8101,185,178,60,478,16420,44,239,8231,28,0,8234,-0.058977917,0.00183613,0.029134633,0.001836099,0.029129989,0.999557734,0.014587402,-0.000488281,0.02947998,0.999450684
8201,161,151,-2,396,16394,-17,158,8205,-27,-81,8205,-0.059099864,0.001834301,0.029012462,0.001834273,0.029007927,0.999563098,0.014526367,-0.000488281,0.029541016,0.999450684
8301,159,139,72,428,16378,56,190,8189,43,-45,8191,-0.059099864,0.001834301,0.029012462,0.001834273,0.029007927,0.999563098,0.014526367,-0.000488281,0.029541016,0.999450684
8401,226,132,0,456,16314,-15,218,8125,-28,-19,8127,-0.059099864,0.001834301,0.029012462,0.001834273,0.029007927,0.999563098,0.014526367,-0.000488281,0.029541016,0.999450684
8501,221,106,-8,554,16318,-23,316,8129,-42,77,8134,-0.059099864,0.001834301,0.029012462,0.001834273,0.029007927,0.999563098,0.014526367,-0.000488281,0.029541016,0.999450684
8601,224,133,14,476,16414,-1,238,8225,-16,-1,8228,-0.059099864,0.001834301,0.029012462,0.001834273,0.029007927,0.999563098,0.014526367,-0.000488281,0.029541016,0.999450684
8701,181,125,6,410,16412,-10,172,8223,-22,-68,8224,-0.059101634,0.001956306,0.02900886,0.001956277,0.029004321,0.999563038,0.014526367,-0.000549316,0.029541016,0.999450684
8801,204,134,106,412,16328,89,174,8139,76,-57,8140,-0.059101634,0.001956306,0.02900886,0.001956277,0.029004321,0.999563038,0.014526367,-0.000549316,0.029541016,0.999450684
8901,195,142,32,530,16484,16,293,8295,-3,53,8299,-0.059101772,0.001952703,0.028886857,0.001952671,0.028882317,0.999564767,0.014465332,-0.000549316,0.029541016,0.999450684
9001,241,100,114,486,16362,97,248,8173,80,15,8176,-0.059101634,0.001956306,0.02900886,0.001956277,0.029004321,0.999563038,0.014526367,-0.000549316,0.029541016,0.999450684
9101,218,132,52,512,16366,35,274,8177,16,37,8181,-0.059101634,0.001956306,0.02900886,0.001956277,0.029004321,0.999563038,0.014526367,-0.000549316,0.029541016,0.999450684
9201,194,100,26,470,16298,9,232,8109,-6,-3,8112,-0.059101634,0.001956306,0.02900886,0.001956277,0.029004321,0.999563038,0.014526367,-0.000549316,0.029541016,0.999450684
9301,192,121,10,494,16316,-6,256,8127,-23,18,8130,-0.059101634,0.001956306,0.02900886,0.001956277,0.029004321,0.999563038,0.014526367,-0.000549316,0.029541016,0.999450684
9401,228,103,26,412,16432,10,174,8243,-1,-65,8244,-0.059099864,0.001834301,0.029012462,0.001834273,0.029007927,0.999563098,0.014526367,-0.000488281,0.029541016,0.999450684
9501,241,112,52,464,16530,35,226,8341,19,-14,8343,-0.059101634,0.001956306,0.02900886,0.001956277,0.029004321,0.999563038,0.014526367,-0.000549316,0.029541016,0.999450684
9601,200,116,26,418,16396,9,180,8207,-3,-58,8208,-0.059101634,0.001956306,0.02900886,0.001956277,0.029004321,0.999563038,0.014526367,-0.000549316,0.029541016,0.999450684
9701,204,148,92,420,16390,75,182,8201,62,-52,8202,-0.059101634,0.001956306,0.02900886,0.001956277,0.029004321,0.999563038,0.014526367,-0.000549316,0.029541016,0.999450684
9801,155,122,0,416,16420,-16,178,8231,-28,-62,8232,-0.059101634,0.001956306,0.02900886,0.001956277,0.029004321,0.999563038,0.014526367,-0.000549316,0.029541016,0.999450684
9901,213,143,96,472,16402,79,234,8213,63,0,8216,-0.058979839,0.00195454,0.029009031,0.001954503,0.029004388,0.999559462,0.014526367,-0.000549316,0.02947998,0.999450684
10001,181,117,102,438,16328,85,199,8139,71,-34,8141,-0.058979694,0.001958135,0.029131036,0.001958102,0.029126391,0.999557674,0.014587402,-0.000549316,0.02947998,0.999450684
10101,169,116,-4,490,16374,-21,251,8185,-38,10,8188,-0.058981471,0.00208014,0.029127441,0.002080105,0.029122792,0.999557614,0.014587402,-0.000610352,0.02947998,0.999450684
10201,132,118,14,520,16336,-2,281,8147,-20,42,8151,-0.058979694,0.001958135,0.029131036,0.001958102,0.029126391,0.999557674,0.014587402,-0.000549316,0.02947998,0.999450684
10301,172,164,162,484,16414,145,246,8225,128,14,8228,-0.058979839,0.00195454,0.029009031,0.001954503,0.029004388,0.999559462,0.014526367,-0.000549316,0.02947998,0.999450684
10401,220,124,-28,398,16386,-44,160,8197,-55,-81,8197,-0.058979839,0.00195454,0.029009031,0.001954503,0.029004388,0.999559462,0.014526367,-0.000549316,0.02947998,0.999450684
10501,191,75,22,484,16298,6,246,8109,-9,10,8112,-0.05897807,0.001832534,0.029012626,0.0018325,0.029007986,0.999559522,0.014526367,-0.000488281,0.02947998,0.999450684
10601,183,82,0,510,16372,-15,273,8183,-33,34,8187,-0.058979977,0.001950944,0.028887026,0.001950905,0.028882384,0.999561191,0.014465332,-0.000549316,0.02947998,0.999450684
10701,143,65,50,476,16440,34,239,8251,17,1,8254,-0.058979977,0.001950944,0.028887026,0.001950905,0.028882384,0.999561191,0.014465332,-0.000549316,0.02947998,0.999450684
10801,167,111,48,448,16364,33,211,8175,19,-24,8177,-0.058978211,0.001828939,0.028890621,0.001828901,0.028885983,0.99956125,0.014465332,-0.000488281,0.02947998,0.999450684
